audio_file|text|speaker_name
wavs/id10002_0000.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0001.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0002.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0003.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0004.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0005.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0006.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0007.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0008.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0009.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0010.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0011.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0012.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0013.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0014.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0015.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0016.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0017.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0018.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0019.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0020.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0021.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0022.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0023.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0024.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0025.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0026.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0027.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0028.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0029.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0030.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0031.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0032.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0033.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0034.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0035.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0036.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0037.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0038.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0039.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0040.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0041.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0042.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0043.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0044.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0045.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0046.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0047.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0048.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0049.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0050.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0051.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0052.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0053.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0054.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0055.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0056.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0057.wav|Sample audio from A.R._Rahman|A.R. Rahman
wavs/id10002_0058.wav|Sample audio from A.R._Rahman|A.R. Rahman
